epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,3519.66,1.23441,1.36056,1.69938,0.77838,0.67987,0.74255,0.46566,1.28241,1.27296,1.65226,0.00835,0.00835,0.00835
23,3728.19,1.21595,1.32205,1.68064,0.82504,0.66793,0.75628,0.47838,1.30716,1.19669,1.68213,0.008185,0.008185,0.008185
22,3684.98,1.23277,1.36039,1.69468,0.7746,0.67509,0.75403,0.4702,1.2998,1.22102,1.68467,0.0082675,0.0082675,0.0082675
24,3891.45,1.21073,1.3134,1.67809,0.80482,0.64983,0.74446,0.47429,1.28911,1.22339,1.66532,0.0081025,0.0081025,0.0081025
23,3849.43,1.21595,1.32205,1.68064,0.82504,0.66793,0.75628,0.47838,1.30716,1.19669,1.68213,0.008185,0.008185,0.008185
25,4055.95,1.20072,1.28772,1.66288,0.79111,0.69256,0.76258,0.47919,1.22629,1.19682,1.60404,0.00802,0.00802,0.00802
24,4012.44,1.21073,1.3134,1.67809,0.80482,0.64983,0.74446,0.47429,1.28911,1.22339,1.66532,0.0081025,0.0081025,0.0081025
26,4221.43,1.18781,1.2748,1.6622,0.77395,0.68447,0.75907,0.479,1.288,1.16098,1.69097,0.0079375,0.0079375,0.0079375
25,4175.97,1.20072,1.28772,1.66288,0.79111,0.69256,0.76258,0.47919,1.22629,1.19682,1.60404,0.00802,0.00802,0.00802
27,4385.67,1.17995,1.26268,1.64479,0.80995,0.67724,0.77085,0.48285,1.25917,1.17752,1.6385,0.007855,0.007855,0.007855
26,4339.37,1.18781,1.2748,1.6622,0.77395,0.68447,0.75907,0.479,1.288,1.16098,1.69097,0.0079375,0.0079375,0.0079375
28,4549.62,1.1717,1.24081,1.63782,0.76741,0.70411,0.76287,0.48683,1.23709,1.17176,1.63172,0.0077725,0.0077725,0.0077725
27,4503.81,1.17995,1.26268,1.64479,0.80995,0.67724,0.77085,0.48285,1.25917,1.17752,1.6385,0.007855,0.007855,0.007855
29,4713.02,1.1741,1.23991,1.63134,0.76979,0.7006,0.78156,0.50294,1.21931,1.12837,1.60072,0.00769,0.00769,0.00769
28,4667.64,1.1717,1.24081,1.63782,0.76741,0.70411,0.76287,0.48683,1.23709,1.17176,1.63172,0.0077725,0.0077725,0.0077725
30,4876.7,1.15634,1.21734,1.62697,0.80969,0.69409,0.79209,0.5152,1.22191,1.10625,1.62401,0.0076075,0.0076075,0.0076075
29,4831.15,1.1741,1.23991,1.63134,0.76979,0.7006,0.78156,0.50294,1.21931,1.12837,1.60072,0.00769,0.00769,0.00769
31,5040.36,1.157,1.23171,1.62612,0.77881,0.73554,0.79194,0.50762,1.22703,1.09991,1.62867,0.007525,0.007525,0.007525
30,4994.52,1.15634,1.21734,1.62697,0.80969,0.69409,0.79209,0.5152,1.22191,1.10625,1.62401,0.0076075,0.0076075,0.0076075
32,5204.09,1.14304,1.19213,1.61475,0.77776,0.70783,0.77674,0.48737,1.24525,1.10796,1.63721,0.0074425,0.0074425,0.0074425
